job_name,account,jqueue,mail,node_nbr,core_per_node_nbr,mem_per_core,runtime_limit,instance_config,experiment_config,vis_config
b12-1_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-1.json,experiment_config_2h_model2.json,vis_config1.json
b12-2_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-2.json,experiment_config_2h_model2.json,vis_config1.json
b12-3_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-3.json,experiment_config_2h_model2.json,vis_config1.json
b12-4_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-4.json,experiment_config_2h_model2.json,vis_config1.json
b12-5_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-5.json,experiment_config_2h_model2.json,vis_config1.json
b12-6_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-6.json,experiment_config_2h_model2.json,vis_config1.json
b12-7_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-7.json,experiment_config_2h_model2.json,vis_config1.json
b12-8_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-8.json,experiment_config_2h_model2.json,vis_config1.json
b12-9_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-9.json,experiment_config_2h_model2.json,vis_config1.json
b12-10_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-10.json,experiment_config_2h_model2.json,vis_config1.json
b24-1_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-1.json,experiment_config_2h_model2.json,vis_config1.json
b24-2_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-2.json,experiment_config_2h_model2.json,vis_config1.json
b24-3_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-3.json,experiment_config_2h_model2.json,vis_config1.json
b24-4_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-4.json,experiment_config_2h_model2.json,vis_config1.json
b24-5_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-5.json,experiment_config_2h_model2.json,vis_config1.json
b24-6_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-6.json,experiment_config_2h_model2.json,vis_config1.json
b24-7_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-7.json,experiment_config_2h_model2.json,vis_config1.json
b24-8_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-8.json,experiment_config_2h_model2.json,vis_config1.json
b24-9_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-9.json,experiment_config_2h_model2.json,vis_config1.json
b24-10_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,10800,instance_config_b24-10.json,experiment_config_2h_model2.json,vis_config1.json
b36-1_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-1.json,experiment_config_5h_model2.json,vis_config1.json
b36-2_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-2.json,experiment_config_5h_model2.json,vis_config1.json
b36-3_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,36000,instance_config_b36-3.json,experiment_config_5h_model2.json,vis_config1.json
b36-4_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-4.json,experiment_config_5h_model2.json,vis_config1.json
b36-5_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-5.json,experiment_config_5h_model2.json,vis_config1.json
b36-6_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-6.json,experiment_config_5h_model2.json,vis_config1.json
b36-7_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-7.json,experiment_config_5h_model2.json,vis_config1.json
b36-8_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-8.json,experiment_config_5h_model2.json,vis_config1.json
b36-9_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-9.json,experiment_config_5h_model2.json,vis_config1.json
b36-10_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,28800,instance_config_b36-10.json,experiment_config_5h_model2.json,vis_config1.json
