job_name,account,jqueue,mail,node_nbr,core_per_node_nbr,mem_per_core,runtime_limit,instance_config,experiment_config,vis_config
a12-1_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-1.json,experiment_config_2h.json,vis_config1.json
a12-2_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-2.json,experiment_config_2h.json,vis_config1.json
a12-3_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-3.json,experiment_config_2h.json,vis_config1.json
a12-4_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-4.json,experiment_config_2h.json,vis_config1.json
a12-5_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-5.json,experiment_config_2h.json,vis_config1.json
a12-6_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-6.json,experiment_config_2h.json,vis_config1.json
a12-7_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-7.json,experiment_config_2h.json,vis_config1.json
a12-8_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-8.json,experiment_config_2h.json,vis_config1.json
a12-9_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-9.json,experiment_config_2h.json,vis_config1.json
a12-10_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a12-10.json,experiment_config_2h.json,vis_config1.json
a24-1_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-1.json,experiment_config_2h.json,vis_config1.json
a24-2_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-2.json,experiment_config_2h.json,vis_config1.json
a24-3_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-3.json,experiment_config_2h.json,vis_config1.json
a24-4_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-4.json,experiment_config_2h.json,vis_config1.json
a24-5_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-5.json,experiment_config_2h.json,vis_config1.json
a24-6_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-6.json,experiment_config_2h.json,vis_config1.json
a24-7_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-7.json,experiment_config_2h.json,vis_config1.json
a24-8_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-8.json,experiment_config_2h.json,vis_config1.json
a24-9_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-9.json,experiment_config_2h.json,vis_config1.json
a24-10_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_a24-10.json,experiment_config_2h.json,vis_config1.json
a36-1_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-1.json,experiment_config_5h.json,vis_config1.json
a36-2_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-2.json,experiment_config_5h.json,vis_config1.json
a36-3_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-3.json,experiment_config_5h.json,vis_config1.json
a36-4_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-4.json,experiment_config_5h.json,vis_config1.json
a36-5_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-5.json,experiment_config_5h.json,vis_config1.json
a36-6_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-6.json,experiment_config_5h.json,vis_config1.json
a36-7_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-7.json,experiment_config_5h.json,vis_config1.json
a36-8_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-8.json,experiment_config_5h.json,vis_config1.json
a36-9_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-9.json,experiment_config_5h.json,vis_config1.json
a36-10_mf,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,18000,instance_config_a36-10.json,experiment_config_5h.json,vis_config1.json
